"Country Name","Country Code","Indicator Name","Indicator Code","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Paraguay","PRY","Employment Growth","DET","4.800888","1.009995","4.031641","6.243987","-0.6289613","-0.7537823","0.0990511","2.560749","2.387294","3.373088","-0.3339436","6.286935","3.598194","4.823034","2.015625","4.158233","2.539481","3.042056","0.4273483","4.094709","1.866431","2.131413","3.017418","1.994098","2.07339","2.111381","2.103502","2.073746",
"Peru","PER","Employment Growth","DET","6.71341","2.198901","6.642323","5.385509","4.257697","6.899992","4.075305","3.323489","-1.757213","7.857446","-1.947095","-1.806842","2.96622","1.339376","4.521725","8.498048","2.692216","2.808502","2.204036","2.020809","2.290088","1.720762","1.768753","1.805941","1.798115","1.77489","1.743593","1.709168",
"Philippines","PHL","Employment Growth","DET","3.922579","1.844424","3.210476","4.402351","3.612905","1.92824","1.763881","2.203071","-1.442461","7.010326","0.1952498","3.658629","0.6152151","4.481149","0.5725711","1.92576","3.231075","2.587152","3.429744","3.456002","2.32774","2.213269","2.278237","2.189714","2.182815","2.136941","2.095798","2.075907",
"Poland","POL","Employment Growth","DET","-2.925286","-0.9859139","-1.506663","0.0108938","0.7408544","1.207916","0.5935504","-3.050445","-2.827899","-2.060022","-3.010378","0.4599156","1.137548","2.424848","4.091138","5.010419","4.252864","0.3398191","-0.0879911","0.4798085","0.1414897","-0.2761116","-0.0966357","0.0058631","0.0039876","-0.0159142","-0.039513","-0.0609256",
"Portugal","PRT","Employment Growth","DET","-2.417584","-0.8035436","0.1097224","-0.131592","1.756803","2.81958","3.719849","1.42143","2.205992","1.537438","0.2265115","-0.8352917","-0.2977725","0.0476276","0.7492312","0.2672536","0.5293962","-2.819916","-1.205626","-2.792429","-3.549047","-2.032372","1.10472","1.24123","1.041279","0.8489199","0.668518","0.756245",
"Qatar","QAT","Employment Growth","DET","1.740549","1.317319","1.048241","1.067018","1.485808","1.537705","3.287632","2.86686","2.335417","2.611077","2.294215","5.591784","11.9456","21.34685","26.08564","26.45123","22.84952","18.05784","13.37076","9.776982","7.606852","5.601515","4.319308","3.423212","2.573549","1.730125","1.131313","0.8168357",
"Republic of Moldova","MDA","Employment Growth","DET","0.2541957","0.0216229","-0.9356795","-1.17981","-1.14246","-3.086622","0.8096622","-7.642025","0.7994857","-2.995494","-1.139892","-11.66035","-4.382978","-1.060916","-6.843472","-0.7218183","-0.3953408","-7.197768","-3.957081","1.429641","-3.458719","1.400834","0.7101661","0.9065503","0.587813","0.4699213","0.3802707","0.2939554",
"Romania","ROU","Employment Growth","DET","0.1778041","1.922006","2.168575","2.522426","4.020799","4.065237","-1.596388","-0.7353635","-1.559415","-1.428005","-9.845373","0.8197789","-1.186","-1.966651","1.823429","0.9034651","0.1728264","-1.564033","-0.0938839","-1.007106","1.23944","-0.172012","-0.1110411","0.310937","0.1053824","-0.0365014","-0.138649","-0.231951",
"Russian Federation","RUS","Employment Growth","DET","6.644464","-3.447261","-5.441865","-1.25008","-1.684884","-4.212909","-2.806756","7.473891","3.226331","0.1320904","2.673795","1.580538","1.59634","1.621809","0.5879938","2.695445","0.2902155","-2.435954","0.5102661","1.159201","0.7151979","-0.447298","-0.6582494","-0.7464501","-0.8299819","-0.9406093","-1.020113","-1.051686",
"Saudi Arabia","SAU","Employment Growth","DET","4.481421","2.953314","3.326669","0.8221393","-0.3809736","-0.8447212","-0.9570706","2.82924","4.780696","4.581295","5.975958","7.035137","7.123072","5.887978","4.138766","4.373232","3.561284","2.193027","3.339514","3.033585","3.489919","7.782103","3.252436","3.129703","3.029385","2.927258","2.749554","2.480494",
"Senegal","SEN","Employment Growth","DET","3.584884","3.573463","3.446857","3.221085","2.930401","2.826103","2.710143","2.703971","2.861386","3.070486","3.196013","3.28733","3.155164","3.125284","3.254418","3.046838","3.088533","3.15334","2.967046","2.890126","3.191049","3.245686","3.252263","3.23846","3.220159","3.198453","3.177368","3.163193",
"Serbia","SRB","Employment Growth","DET","-0.1049034","-2.096234","1.301588","5.864843","0.9479582","-0.3144375","0.2428769","0.004537","1.253757","-0.2501206","-1.194814","-1.711594","-4.044157","-3.064364","-0.3475707","3.511308","4.731174","-6.728871","-5.464599","-4.61696","-1.044522","2.348499","0.7377936","1.857225","1.278944","0.8954961","0.6342477","0.4753232",
"Singapore","SGP","Employment Growth","DET","4.206542","2.167824","2.877377","1.218875","4.438773","1.43259","0.2399762","3.229258","3.865468","2.343485","0.7510352","3.084021","4.290795","5.361749","5.48439","4.08585","3.170452","1.713446","4.856221","3.430886","3.629132","2.235179","1.956628","1.84386","1.75081","1.643785","1.500149","1.306831",
"Slovakia","SVK","Employment Growth","DET","-2.107214","-3.262395","-4.296274","1.572307","3.563823","-0.6685097","-0.1173299","-3.180418","-1.633232","1.036049","0.9536673","2.539608","-0.4368971","1.853333","3.384621","2.762103","3.238201","-3.019676","-2.065999","1.31951","0.4335535","-0.2266178","0.0094338","0.135053","0.1413639","0.0839","0.0081752","-0.0522864",
"Slovenia","SVN","Employment Growth","DET","0.8220734","-3.926083","11.4064","2.532793","-1.55068","2.163975","1.383128","-1.393492","-0.3212738","2.058646","-0.3191708","-1.414885","5.328907","0.5416126","1.321654","2.78678","0.5981173","-1.120353","-1.299188","-2.652358","-0.9724209","-1.675035","-0.5045758","-0.2693601","-0.159617","-0.1403883","-0.1740603","-0.2254487",
"South Africa","ZAF","Employment Growth","DET","4.915083","1.754551","11.77984","7.808359","-1.5963","0.8070162","0.3444965","2.518661","1.029055","4.471801","-0.8204662","-0.9920502","1.402427","5.641889","4.851866","0.4473805","2.945528","-3.296363","-3.01384","1.053195","1.443183","1.76622","1.566733","1.479493","1.380516","1.262501","1.176834","1.148654",
"Spain","ESP","Employment Growth","DET","-1.842169","-4.257478","-0.5768635","2.478805","2.269225","3.229694","3.971659","5.78431","5.205567","3.99674","2.646181","4.051133","4.084018","5.496021","3.913027","2.461368","-0.8392301","-6.337403","-1.55336","-1.128878","-3.870133","-2.416671","0.0715836","0.695379","0.7778059","0.7263224","0.6455202","0.5708654",
"Sri Lanka","LKA","Employment Growth","DET","1.738344","2.756012","2.225684","0.8018415","2.742795","2.439764","9.56717","-1.149075","1.126739","0.6228724","-0.0604501","1.567489","-0.5437162","2.607864","8.103825","-1.391814","1.410232","-0.5594409","0.2557006","1.535735","0.9743739","0.5089632","0.5655159","0.5794247","0.5839081","0.6037433","0.6163301","0.6209155",
"Sweden","SWE","Employment Growth","DET","-4.363085","-5.745355","-1.085138","1.368533","-0.6166523","-1.30692","1.268893","2.013615","3.210469","1.547353","0.1745792","-0.1273233","-0.5775638","1.213119","2.156987","2.111618","1.082258","-2.032988","0.5278705","2.071896","0.6422765","0.3002297","0.1261817","0.2529513","0.2849155","0.3058862","0.3347002","0.3551324",
"Switzerland","CHE","Employment Growth","DET","-0.1362698","-0.0689074","-0.4598448","0.7949617","0.4813428","-0.3917856","1.677405","0.8727111","0.3514092","1.54199","0.2954524","-0.1541003","0.0665881","0.6972027","2.343898","2.320644","2.472394","0.7531681","0.3492405","2.086621","1.063753","1.033136","1.016367","0.9819487","0.9165293","0.8430146","0.776126","0.7027186",
"Taiwan, China","TWN","Employment Growth","DET","2.211627","0.9082859","1.877353","1.010362","0.2577058","1.1702","0.8992479","0.971341","0.8181338","-1.100062","0.8868926","1.522001","2.487982","1.77373","1.666087","1.746967","0.9606742","-1.49084","2.024153","1.919658","1.297422","0.6147763","0.4785965","0.5746762","0.6139252","0.621676","0.619449","0.6122484",
"Tajikistan","TJK","Employment Growth","DET","1.872502","1.316207","1.829491","1.062764","1.26179","1.036169","1.413289","1.897606","2.513479","2.834562","2.837618","3.801116","3.741664","3.943627","3.66995","3.728376","3.877696","3.021162","3.088959","3.384414","3.20269","3.021857","2.743878","2.52532","2.36428","2.231074","2.118213","2.024035",
"Thailand","THA","Employment Growth","DET","0.5417796","-1.254414","-1.070315","2.129981","2.391389","2.455592","-1.878362","0.6653534","3.38848","2.108575","2.243803","1.591168","1.917747","1.622528","0.3692521","2.153704","0.8491437","-0.1923519","0.8529537","1.158632","0.7356725","0.6103354","0.4701695","0.4068619","0.3561084","0.2999841","0.2367678","0.1729056",
"Tunisia","TUN","Employment Growth","DET","3.348074","3.244565","3.556264","2.683719","2.559296","2.405877","0.187017","3.434112","2.103919","2.384283","1.33566","2.454914","2.138046","1.00533","4.356212","2.378694","2.228676","1.093292","2.343734","-4.484693","6.901896","2.318615","1.095182","1.085292","0.999554","0.8984835","0.8082403","0.7336932",
"Turkey","TUR","Employment Growth","DET","0.4005515","-5.155387","7.927171","2.512731","2.651073","-0.3142208","2.539165","1.204465","-2.289106","-0.2955247","-0.7951834","-0.8723868","-0.4653163","2.326496","1.836128","1.597611","2.44644","0.4782183","6.254757","6.271209","2.397723","0.8511559","0.7646695","1.93957","1.649575","1.383885","1.299569","1.246835",
"Uganda","UGA","Employment Growth","DET","3.336015","3.231548","2.391994","3.48901","3.354461","2.26523","2.867044","2.90464","3.003815","3.606323","2.117689","2.752591","2.913036","2.401139","1.549327","4.091122","2.699985","2.878427","3.517251","3.603379","3.623211","4.029395","3.917178","3.835685","3.77876","3.737633","3.708673","3.689532",
"Ukraine","UKR","Employment Growth","DET","-1.316799","-1.786835","1.464425","0.8312016","-2.925124","-2.400583","-3.698902","-1.468145","-1.180515","-0.4091698","1.41791","0.131079","0.5642872","2.530245","0.4307819","0.4267075","-0.0514959","-2.721482","0.531624","0.027476","0.0790679","-0.90144","-0.7344995","-0.6218922","-0.7420412","-0.8554026","-0.9352949","-0.9768456",
"United Arab Emirates","ARE","Employment Growth","DET","7.638469","7.624052","8.425094","6.817848","5.380649","6.393151","5.398659","5.652674","6.198622","3.262234","3.76963","6.393998","10.29681","16.39454","20.58171","21.5555","18.67587","14.99367","10.63525","6.321446","3.562315","1.865908","1.223726","1.405042","1.753554","1.875723","1.939876","1.846152",
"United Kingdom","GBR","Employment Growth","DET","-2.449747","-1.373717","0.8192038","1.088016","1.016689","1.791104","1.12703","1.36362","1.28751","0.9362324","0.6035156","1.326975","0.9060809","0.6674061","0.7161147","0.4181487","1.076409","-2.228657","0.0430193","0.5852644","0.7912649","1.046781","0.7489389","0.6763867","0.6501003","0.634441","0.6282399","0.6173947",
"United States","USA","Employment Growth","DET","0.5006948","1.470877","2.520771","1.877603","1.724697","2.377864","1.928694","1.791593","1.544158","-0.0497692","-0.5562429","0.3107696","1.232216","1.598886","1.879193","0.8814442","-0.1874834","-3.629457","-0.4514264","0.8778471","1.658522","1.073561","1.581518","1.102249","1.016028","0.923047","0.8183317","0.7134048",
"Uruguay","URY","Employment Growth","DET","1.626142","0.4915346","1.631806","0.9142529","-0.0832781","5.05218","0.8295578","-3.093822","1.557175","3.251378","-0.3237363","-0.537192","1.332653","-1.745331","0.6341656","2.946286","3.115885","1.682393","0.710803","1.744293","0.5558778","0.6526585","0.3731064","0.37131","0.4404672","0.4876885","0.510036","0.5090418",
"Venezuela","VEN","Employment Growth","DET","3.77867","1.353966","2.863581","5.27273","2.81099","6.989725","3.959292","-0.4788375","3.377859","6.243235","0.9190034","0.548864","3.383136","5.392696","3.421444","3.362346","3.252725","0.9868506","0.7338694","2.503538","2.319185","2.695947","0.9919453","0.9128875","1.256304","1.486648","1.492056","1.490739",
"Viet Nam","VNM","Employment Growth","DET","2.201577","2.052514","2.887999","2.582052","2.503774","1.246471","3.010276","2.394484","2.191032","1.686197","2.887384","1.890036","2.230557","1.91402","1.69107","1.801062","1.742448","1.57372","1.738208","2.471572","1.889054","1.325288","1.28991","1.181336","1.051533","0.9274001","0.8258041","0.7544743",
